Make a list of verb conjugations


dansk, English,
jeg levere varm mad fra min foodtruck til hjemløse hver morgen, I deliver meals from my food truck every morning,
Jeg glæde mig til i morgen fordi min kæreste kommer hjem i morgen tidlig, to look forward to,
Jeg kunne ikke fordrage mig til at arbejde med lille larmlige børn, "I couldn't stand working with noisy little kids",
"I dag var jeg nødt til at købe ind","Today, I had to go shopping",
Forskere har lige opdaget en ny ting, "Scientists have just discovered a new thing",
"Begge fungerer for mig borset fra den sidte mulighed", "Both work for me except for the last option",
Måske kan jeg bestå den eksam disse uge, Maybe I can pass the exam next week,
"Det er lokalt så det dækker kun Washington DC","It's local so it only covers Washington DC",
Jeg kommer til at genlæse en masse tekst, I'm going to have to reread a lot of text,
Det er svært at se dig sådan her 😥, It's hard to see you like this 😥,
Du ligner ligesom den kvinde fra det australske band, You look just like that woman from that australian band,
"Du skal helt klart tage afsted, hvis du får chancen", You should definitely go if you get the chance,
Edderkoppen og bjøren drikker vin og øl, The spider and the bear drink wine and beer,
en ejer, a owner,
"Er det i orden, hvis jeg kommer tilbage i morgen for at hente det?","Is it alright, if I come back tomorrow to pick this up?",
Den lille dreng er så bange for dyrene ,"That little boy is, so afraid of the animals",
"Pigerne forklærede, hvor farlige alle deres eventyr var sidste sommeren","The girls talked about how dangerous all of their adventures were last summer",
Sidste år kom der et fantastisk forslag fra en tyske forsker, Last year there was a fantastic proposal from a German researcher,
Hun havde ikke forventet så mange gæster til sin fødselsdag,"She did not expect so many guests for birthday",
Fremover(Fra nu af) skal han arbejde frivillige hver uge, "From now on, he will volunteer every week",
"Næsten hver jul, slipper hun mange fugle ud i skoven",  "Nearly every Christmas, she releases many birds in the forest",
"Han prøver at genindlæse sit haglgevær før bjørne er på ham", "He tries to reload his shotgun before the bear gets are on him",
"Redaktør er godt til at anmelde men snakker han altid at historiene han vil gerne skrive","The editor is good at reviewing, but he's has always wanted to write",
"Giver det lidt mere mening når jeg snakker langsommere?", "Does that make more sense, when I speak slower?",
"Jeg er glad for, at det endelig kom", "I'm Glad it finally came",
"Min søster glemte til at medtage min brors kone på bryllupsinvitationlisten" , "Mom forgot to include my brother's wife in the wedding invitation",
Held og lykke med din engelskprøve i morgen , Good luck on your English exam tomorrow,
"Kan jeg bede om en kaffe, helst uden normal mælk", "Could I get a coffee preferably without normal milk",
"I skal ikke angbre med hinanden. Du er søskende!", "Each Other",
"Denne lille dreng her er faktisk så fanmed modig. Han beskyttede sin søster mod den uhygglige mænd, der prøvede at stjæle hendes hund", "This boy is actually, so damn brace, he protected his sister from those creepy men who tried to steal her dog",
"Nogle lærere ved hvordan de bedst strykker elver selvtillid. Penge", "Some teachers know the best way to raise students confidence. Money",
"Hun er så modig, når hun kæmper for sit hjemland mod slemme Republicans", "She is so brave when she fights for her homeland against evil Republicans",
"jeg glemmer Ofte hvor meget esspresso bruger  til en French presse", "I often forget how much esspresso to use for a French press",
"Før hændelsen, Conan troede at han kunne beskytte han familia fra en coyote angreb" ,"Before the incident, Conan thought he could protect his family from a coyoto."
